8,priority,maleable,154.25 , 1.0 , 155.25 , 241.0 , 67.0 , 27.604166666666668 , 0.02346041055718475 , 341.0
8,priority,original,160.25 , 1.375 , 161.625 , 254.0 , 60.0 , 29.817708333333332 , 0.02203856749311295 , 363.0
8,priority,maleable,153.5 , 1.25 , 154.75 , 235.0 , 73.0 , 28.515625 , 0.022988505747126436 , 348.0
8,priority,original,157.75 , 2.0 , 159.75 , 241.0 , 64.0 , 29.296875 , 0.021798365122615803 , 367.0
8,priority,maleable,74.375 , 38.875 , 113.25 , 112.0 , 49.0 , 56.53409090909091 , 0.025889967637540454 , 309.0
8,priority,original,49.875 , 44.625 , 94.5 , 65.0 , 42.0 , 71.875 , 0.03292181069958848 , 243.0
16,priority,maleable,97.875 , 22.6875 , 120.5625 , 205.0 , 57.0 , 45.220588235294116 , 0.030947775628626693 , 517.0
16,priority,original,100.375 , 22.75 , 123.125 , 223.0 , 52.0 , 47.150735294117645 , 0.030828516377649325 , 519.0
16,priority,maleable,101.5 , 21.75 , 123.25 , 226.0 , 57.0 , 55.104166666666664 , 0.033264033264033266 , 481.0
16,priority,original,101.5625 , 18.75 , 120.3125 , 231.0 , 60.0 , 48.4375 , 0.03137254901960784 , 510.0
16,priority,maleable,80.0625 , 81.125 , 161.1875 , 166.0 , 51.0 , 69.66911764705883 , 0.03088803088803089 , 518.0
16,priority,original,114.6875 , 84.5625 , 199.25 , 264.0 , 41.0 , 59.548611111111114 , 0.02888086642599278 , 554.0
32,priority,maleable,119.125 , 48.1875 , 167.3125 , 485.0 , 54.0 , 67.51302083333333 , 0.043835616438356165 , 730.0
32,priority,original,116.8125 , 42.75 , 159.5625 , 481.0 , 49.0 , 70.72010869565217 , 0.044444444444444446 , 720.0
32,priority,maleable,130.8125 , 41.125 , 171.9375 , 501.0 , 58.0 , 72.4375 , 0.04139715394566624 , 773.0
32,priority,original,142.28125 , 26.65625 , 168.9375 , 491.0 , 54.0 , 73.95833333333333 , 0.0438957475994513 , 729.0
32,priority,maleable,138.125 , 106.8125 , 244.9375 , 369.0 , 54.0 , 75.28935185185185 , 0.03751465416178194 , 853.0
32,priority,original,193.40625 , 141.46875 , 334.875 , 467.0 , 40.0 , 77.16733870967742 , 0.0328879753340185 , 973.0
64,priority,maleable,101.421875 , 91.09375 , 192.515625 , 495.0 , 53.0 , 79.39680232558139 , 0.04833836858006042 , 1324.0
64,priority,original,101.875 , 102.5 , 204.375 , 493.0 , 54.0 , 79.01785714285714 , 0.0486322188449848 , 1316.0
64,priority,maleable,119.109375 , 54.765625 , 173.875 , 552.0 , 56.0 , 82.65224358974359 , 0.052502050861361775 , 1219.0
64,priority,original,123.5 , 129.453125 , 252.953125 , 485.0 , 57.0 , 86.0440340909091 , 0.04804804804804805 , 1332.0
64,priority,maleable,210.859375 , 137.40625 , 348.265625 , 596.0 , 51.0 , 86.5149456521739 , 0.044630404463040445 , 1434.0
64,priority,original,199.234375 , 149.15625 , 348.390625 , 466.0 , 43.0 , 84.375 , 0.04139715394566624 , 1546.0
128,priority,maleable,120.0703125 , 202.1171875 , 322.1875 , 516.0 , 60.0 , 84.99623493975903 , 0.05001953888237593 , 2559.0
128,priority,original,121.4375 , 226.9453125 , 348.3828125 , 501.0 , 52.0 , 83.04398148148148 , 0.05101634117178159 , 2509.0
128,priority,maleable,137.8515625 , 165.96875 , 303.8203125 , 551.0 , 59.0 , 78.69485294117646 , 0.04857685009487666 , 2635.0
128,priority,original,151.0390625 , 341.1171875 , 492.15625 , 482.0 , 54.0 , 83.44414893617021 , 0.04373078237102836 , 2927.0
128,priority,maleable,227.6328125 , 245.4375 , 473.0703125 , 584.0 , 49.0 , 84.33988764044943 , 0.04630969609261939 , 2764.0
128,priority,original,277.0625 , 746.84375 , 1023.90625 , 461.0 , 43.0 , 87.31971153846153 , 0.031746031746031744 , 4032.0
