Cores,Intra,Time
1,1,374
1,2,432
1,4,433
1,8,477
1,16,4
1,24,666
1,32,736
1,48,1000
1,64,1307
2,1,371
2,2,244
2,4,237
2,8,248
2,16,297
2,24,343
2,32,372
2,48,534
2,64,694
4,1,368
4,2,243
4,4,148
4,8,131
4,16,155
4,24,179
4,32,205
4,48,291
4,64,329
8,1,369
8,2,240
8,4,147
8,8,105
8,16,88
8,24,96
8,32,105
8,48,149
8,64,192
16,1,365
16,2,241
16,4,148
16,8,103
16,16,83
16,24,79
16,32,74
16,48,85
16,64,97
24,1,371
24,2,242
24,4,147
24,8,102
24,16,82
24,24,80
24,32,74
24,48,74
24,64,78
32,1,371
32,2,243
32,4,148
32,8,103
32,16,85
32,24,82
32,32,73
32,48,73
32,64,71
48,1,372
48,2,242
48,4,148
48,8,102
48,16,78
48,24,81
48,32,71
48,48,73
48,64,68
64,1,370
64,2,243
64,4,149
64,8,103
64,16,85
64,24,81
64,32,73
64,48,72
64,64,69
